,year_month,model,monthly_return,n,monthly_return_index,monthly_return_vs_index,score
0,2006-02,156.0-53.0-30,-0.12012080045975515,9,0.0057254901960783755,0.8748701391357812,-0.2880284280638785
1,2006-03,156.0-53.0-30,0.03269448203533942,8,0.01247757934960636,1.0199677534575333,0.03915869864875497
2,2006-04,156.0-53.0-30,0.04062172442222867,8,0.012631903258106592,1.0276406669334295,0.053807398551037326
3,2006-05,156.0-53.0-30,-0.03514451087376602,7,-0.030120940138434582,0.9948204153041015,-0.010413199045838883
4,2006-06,156.0-53.0-30,0.012596596586861297,8,-0.0018037800956788308,1.0144263987334279,0.028444392650647517
5,2006-07,156.0-53.0-30,-0.019052277834202158,9,0.004478315524827137,0.9765743142531307,-0.04798442892969521
6,2006-08,156.0-53.0-30,-0.05298964042482568,9,0.021822448181462617,0.9267856282278478,-0.1583262528796221
7,2006-09,156.0-53.0-30,0.014339157678515235,11,0.022504592774035714,0.9920142802749005,-0.016100357402114632
8,2006-10,156.0-53.0-30,0.013800994636401498,8,0.031516694115885535,0.9828255814175958,-0.03495262506481127
9,2006-11,156.0-53.0-30,0.03342292038137229,7,0.019885332752739737,1.0132736369412174,0.02620100988201944
10,2006-12,156.0-53.0-30,0.03691181696120127,7,0.0077563509570910405,1.0289310664987827,0.05625001586911729
11,2007-01,156.0-53.0-30,0.05033201090114314,8,0.01504024855246433,1.0347688304961384,0.0672264625643551
12,2007-02,156.0-53.0-30,-0.010779648863662339,6,-0.01961739130434781,1.009014585083719,0.017868572106248037
13,2007-03,156.0-53.0-30,0.04406410030834862,6,0.007592421769672786,1.0361968567356028,0.06989326525059161
14,2007-04,156.0-53.0-30,0.04349317832402799,8,0.044295774647887365,0.9992314473127788,-0.001538287932875107
15,2007-05,156.0-53.0-30,0.06745717057060951,7,0.03392002157933782,1.0324368890158862,0.0628562738575161
16,2007-06,156.0-53.0-30,0.049162895805332285,8,-0.018849465170884372,1.069318986803653,0.12983278811809454
17,2007-07,156.0-53.0-30,0.017366096933963737,8,-0.03131024396729376,1.0502496703388426,0.09576402287260083
18,2007-08,156.0-53.0-30,0.08062687795085077,8,0.012832830085094837,1.0669350813401854,0.1256367037596539
19,2007-09,156.0-53.0-30,0.0918280273166121,8,0.033809878718070285,1.0561207140625166,0.1063772838863043
20,2007-10,156.0-53.0-30,0.07524752124922451,8,0.013566653558788833,1.0608552653876926,0.11485477985300505
21,2007-11,156.0-53.0-30,-0.06361114126250456,8,-0.03873262204978989,0.9741190434801136,-0.053149661676620774
22,2007-12,156.0-53.0-30,0.04900948810383832,9,-0.016480559666352645,1.0665874461494875,0.1250233322682785
23,2008-01,156.0-53.0-30,-0.1225850438597963,10,-0.06046098078106832,0.933878144698691,-0.14184437632944963
24,2008-02,156.0-53.0-30,0.007324052011009163,9,-0.025842614835844935,1.0340465178953246,0.06587484890748821
